City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
harper,LR,4.38,-7.72,75.7,81.0,100.0,7.07
tema,GH,5.67,-0.02,77.0,94.0,90.0,6.93
xining,CN,36.62,101.77,62.31,57.0,100.0,3.96
sawakin,SD,19.11,37.33,83.16,55.0,54.0,1.36
nikolskoye,RU,59.7,30.79,62.01,76.0,75.0,11.18
palana,RU,59.12,159.97,49.77,87.0,71.0,15.88
shchigry,RU,51.88,36.9,59.0,87.0,0.0,4.47
champerico,GT,14.3,-91.92,81.79,75.0,100.0,3.47
dilla,ET,6.41,38.31,58.75,82.0,90.0,4.0
port alfred,ZA,-33.59,26.89,55.99,94.0,44.0,3.0
grand gaube,MU,-20.01,57.66,68.0,84.0,5.0,5.01
batagay,RU,67.63,134.63,72.16,23.0,21.0,9.57
dauphin,CA,51.15,-100.05,69.8,88.0,90.0,6.93
castro,BR,-24.79,-50.01,54.03,97.0,10.0,7.16
mikuni,JP,36.22,136.15,80.6,61.0,75.0,4.7
punta arenas,CL,-53.15,-70.92,23.0,92.0,2.0,3.36
polis,CY,35.04,32.43,73.4,94.0,75.0,4.7
katsuura,JP,35.13,140.3,82.0,83.0,75.0,5.82
koslan,RU,63.46,48.9,44.91,80.0,100.0,5.57
durban,ZA,-29.86,31.03,60.01,71.0,0.0,3.36
thinadhoo,MV,0.53,72.93,84.49,66.0,69.0,3.58
goure,NE,13.98,10.27,78.01,70.0,99.0,5.01
cape town,ZA,-33.93,18.42,50.0,93.0,3.0,2.24
oudtshoorn,ZA,-33.59,22.2,48.2,87.0,9.0,4.7
narsaq,GL,60.92,-46.05,44.6,75.0,61.0,10.29
aripuana,BR,-9.17,-60.63,73.38,71.0,37.0,1.59
saint-philippe,RE,-21.36,55.77,68.0,64.0,56.0,6.93
yerbogachen,RU,61.28,108.01,83.44,38.0,0.0,4.09
manggar,ID,-2.88,108.27,84.34,72.0,7.0,15.48
hobyo,SO,5.35,48.53,78.19,80.0,60.0,18.92
bambanglipuro,ID,-7.95,110.28,83.84,66.0,11.0,11.39
kapaa,US,22.08,-159.32,82.4,69.0,20.0,10.29
rodrigues alves,BR,-7.74,-72.65,71.62,94.0,5.0,1.5
isangel,VU,-19.55,169.27,77.0,65.0,75.0,11.41
port elizabeth,ZA,-33.92,25.57,55.4,93.0,90.0,8.05
chuy,UY,-33.7,-53.46,54.36,92.0,100.0,8.77
bredasdorp,ZA,-34.53,20.04,42.8,93.0,3.0,2.24
caravelas,BR,-17.71,-39.25,73.4,81.0,82.0,11.3
atuona,PF,-9.8,-139.03,80.01,78.0,7.0,18.21
ribeira grande,PT,38.52,-28.7,66.96,94.0,17.0,6.69
iqaluit,CA,63.75,-68.51,35.6,84.0,75.0,5.82
qaanaaq,GL,77.48,-69.36,42.37,64.0,100.0,4.0
padang,ID,-0.95,100.35,85.66,65.0,75.0,2.26
rapar,IN,23.57,70.63,88.57,66.0,17.0,8.99
avarua,CK,-21.21,-159.78,77.0,65.0,3.0,17.22
serafimovich,RU,49.58,42.74,60.01,94.0,3.0,1.99
sao miguel do tapuio,BR,-5.5,-41.32,71.53,78.0,49.0,4.5
mocuba,MZ,-16.84,36.99,67.05,96.0,76.0,3.02
urumqi,CN,43.8,87.6,68.0,34.0,39.0,6.71
tabou,CI,4.42,-7.35,75.67,82.0,100.0,7.7
mumford,GH,5.26,-0.76,75.6,88.0,61.0,8.93
obera,AR,-27.49,-55.12,60.17,100.0,91.0,6.15
meulaboh,ID,4.14,96.13,83.7,66.0,62.0,2.08
kodiak,US,57.79,-152.41,60.8,59.0,1.0,6.93
tabuk,PH,17.42,121.44,87.01,66.0,60.0,6.67
doha,QA,25.29,51.53,91.0,62.0,0.0,5.82
jacareacanga,BR,-6.22,-57.75,74.8,72.0,14.0,1.12
hamilton,US,39.18,-84.53,80.01,94.0,1.0,0.18
jaisalmer,IN,26.91,70.92,90.73,51.0,0.0,14.34
brae,GB,60.4,-1.35,55.4,87.0,100.0,9.17
sabirabad,AZ,40.01,48.48,64.4,72.0,0.0,6.93
georgetown,MY,5.41,100.34,87.8,79.0,20.0,3.36
bambous virieux,MU,-20.34,57.76,69.8,88.0,40.0,3.36
vila franca do campo,PT,37.72,-25.43,68.0,82.0,40.0,6.93
pisco,PE,-13.7,-76.22,60.01,87.0,2.0,5.82
thompson,CA,55.74,-97.86,53.6,93.0,90.0,8.05
placido de castro,BR,-10.34,-67.19,72.97,80.0,8.0,0.92
korla,CN,41.76,86.15,75.99,76.0,0.0,4.25
esperance,AU,-33.87,121.9,57.2,76.0,5.0,23.04
carnarvon,AU,-24.87,113.63,68.0,68.0,75.0,10.29
haverfordwest,GB,51.8,-4.97,57.2,82.0,99.0,19.46
medveditskiy,RU,50.79,44.71,58.46,80.0,0.0,6.67
victoria,HK,22.29,114.16,91.0,70.0,91.0,4.0
quatre cocos,MU,-20.21,57.76,69.8,88.0,40.0,3.36
smithers,CA,54.78,-127.17,59.0,67.0,40.0,8.05
jalu,LY,29.03,21.55,73.89,45.0,0.0,5.77
morondava,MG,-20.28,44.28,70.32,52.0,0.0,9.24
coihaique,CL,-45.58,-72.07,35.6,96.0,90.0,3.36
bozoum,CF,6.32,16.38,68.09,96.0,100.0,6.82
simbahan,PH,6.3,120.58,82.27,75.0,10.0,6.11
severo-kurilsk,RU,50.68,156.12,51.91,82.0,100.0,14.88
thunder bay,CA,48.4,-89.32,62.6,82.0,75.0,5.82
kaitangata,NZ,-46.28,169.85,46.99,78.0,100.0,15.01
sterling,US,39.01,-77.43,75.99,69.0,40.0,3.36
yellowknife,CA,62.46,-114.35,75.0,35.0,20.0,8.05
sulangan,PH,11.14,123.72,80.13,77.0,87.0,7.9
faya,SA,18.39,42.45,71.6,42.0,76.0,0.89
mount isa,AU,-20.73,139.5,80.6,30.0,0.0,8.05
pangnirtung,CA,66.15,-65.71,45.93,65.0,87.0,3.2
columbus,US,39.96,-83.0,79.0,57.0,75.0,4.7
keetmanshoop,NA,-26.58,18.13,50.0,53.0,0.0,9.17
geraldton,AU,-28.77,114.6,64.4,82.0,75.0,6.93
ruidoso,US,33.33,-105.67,73.4,29.0,1.0,18.34
netarhat,IN,23.48,84.27,77.63,73.0,62.0,4.7
dwarka,IN,22.24,68.97,86.49,74.0,99.0,8.52
port augusta,AU,-32.5,137.77,61.0,31.0,0.0,24.16
albany,US,42.6,-73.97,69.01,84.0,70.0,4.94
barrow,US,71.29,-156.79,39.2,80.0,90.0,13.87
muravlenko,RU,63.79,74.52,55.67,82.0,84.0,8.03
miraflores,MX,19.22,-98.81,64.4,72.0,75.0,9.17
maniitsoq,GL,65.42,-52.9,43.45,84.0,0.0,7.65
upernavik,GL,72.79,-56.15,38.75,79.0,31.0,4.72
khatanga,RU,71.97,102.5,85.69,33.0,65.0,6.8
ulkan,RU,57.24,107.32,83.16,35.0,0.0,6.02
severnyy,RU,50.68,36.55,60.8,93.0,0.0,6.71
ruston,US,32.52,-92.64,78.8,88.0,1.0,4.7
port hardy,CA,50.7,-127.42,60.8,72.0,75.0,11.41
roebourne,AU,-20.78,117.13,82.65,25.0,31.0,13.87
adre,TD,13.47,22.2,81.09,48.0,94.0,7.09
saint anthony,US,45.02,-93.22,77.0,73.0,75.0,6.93
longyearbyen,SJ,78.22,15.64,42.8,60.0,75.0,12.75
sao joao da barra,BR,-21.64,-41.05,68.74,77.0,100.0,9.42
salta,AR,-24.79,-65.41,48.2,70.0,0.0,5.82
constitucion,CL,-35.33,-72.42,51.01,88.0,66.0,5.53
ponta do sol,PT,32.67,-17.1,68.0,88.0,75.0,12.75
klaksvik,FO,62.23,-6.59,51.8,81.0,100.0,9.17
port hedland,AU,-20.32,118.57,87.8,11.0,67.0,9.17
porto novo,BJ,6.5,2.6,76.48,85.0,88.0,5.93
liuzhou,CN,24.31,109.39,86.97,72.0,100.0,10.49
boa vista,BR,2.82,-60.67,78.8,83.0,40.0,3.36
mugumu,TZ,-1.85,34.7,56.17,68.0,0.0,3.89
mount gambier,AU,-37.83,140.77,51.8,66.0,40.0,18.34
san francisco,US,37.77,-122.42,69.01,63.0,20.0,10.29
camacupa,AO,-12.02,17.48,47.01,55.0,0.0,3.89
russell,US,32.35,-85.2,84.2,94.0,1.0,3.8
wloszczowa,PL,50.85,19.97,59.0,99.0,1.0,1.01
darasun,RU,51.67,114.0,62.6,88.0,40.0,11.18
caucel,MX,21.02,-89.72,86.0,69.0,43.0,6.35
vila vicosa,PT,38.78,-7.42,71.01,64.0,0.0,2.17
kuybysheve,UA,47.36,36.65,65.91,84.0,0.0,5.06
katobu,ID,-4.94,122.53,84.96,61.0,100.0,7.96
mitsamiouli,KM,-11.38,43.28,77.56,71.0,14.0,5.48
cherskiy,RU,68.75,161.3,53.71,42.0,44.0,16.37
jatai,BR,-17.88,-51.71,68.22,67.0,100.0,5.14
christchurch,NZ,-43.53,172.63,51.01,53.0,81.0,14.99
honiara,SB,-9.43,159.95,89.6,62.0,40.0,5.82
serebryansk,KZ,49.69,83.29,69.8,46.0,75.0,4.47
kichera,RU,55.94,110.1,78.22,40.0,4.0,2.39
pontianak,ID,-0.03,109.33,85.15,66.0,75.0,4.99
lorengau,PG,-2.02,147.27,86.18,68.0,77.0,7.81
bebedouro,BR,-20.95,-48.48,63.63,85.0,44.0,7.99
luderitz,NA,-26.65,15.16,51.8,66.0,0.0,1.12
makakilo city,US,21.35,-158.09,87.8,65.0,75.0,10.29
bocaiuva,BR,-17.11,-43.81,61.66,86.0,0.0,9.73
tadine,NC,-21.55,167.88,69.96,53.0,0.0,15.84
arraial do cabo,BR,-22.97,-42.03,69.69,76.0,100.0,18.5
anton lizardo,MX,19.05,-95.98,84.0,83.0,40.0,3.36
hualmay,PE,-11.1,-77.61,60.75,86.0,18.0,13.65
ambilobe,MG,-13.2,49.05,64.92,83.0,0.0,2.98
taoudenni,ML,22.68,-3.98,94.62,10.0,0.0,7.74
caronport,CA,50.45,-105.82,61.0,96.0,77.0,5.01
samarai,PG,-10.62,150.67,78.39,85.0,94.0,14.97
nurota,UZ,40.56,65.69,75.2,31.0,55.0,4.7
chany,RU,55.31,76.76,58.12,74.0,0.0,8.79
antsohihy,MG,-14.88,47.99,62.02,82.0,17.0,4.76
buchanan,LR,5.88,-10.05,75.99,88.0,80.0,9.13
yengema,SL,8.72,-11.17,70.57,99.0,98.0,1.66
torbay,CA,47.67,-52.73,60.01,100.0,90.0,13.87
mayo,US,38.89,-76.51,77.0,83.0,1.0,5.95
port blair,IN,11.67,92.75,82.15,79.0,100.0,16.04
maceio,BR,-9.67,-35.74,71.6,94.0,75.0,4.7
kavieng,PG,-2.57,150.8,85.23,65.0,12.0,2.93
bengkulu,ID,-3.8,102.27,84.85,60.0,0.0,2.37
sangar,RU,63.92,127.47,84.33,34.0,0.0,6.55
panama city,PA,8.99,-79.52,78.01,94.0,91.0,3.36
moerai,PF,-22.43,-151.33,70.83,72.0,55.0,22.59
bilibino,RU,68.05,166.44,44.53,57.0,53.0,14.23
neuquen,AR,-38.95,-68.06,39.2,93.0,75.0,5.82
saint albans,GB,51.75,-0.33,55.99,77.0,98.0,13.87
monki,PL,53.41,22.8,62.01,100.0,100.0,8.7
lavrentiya,RU,65.58,-171.0,46.51,58.0,29.0,11.23
nizhniy tsasuchey,RU,50.52,115.13,70.14,65.0,100.0,11.77
garissa,KE,-0.45,39.64,72.52,74.0,57.0,10.65
talnakh,RU,69.49,88.4,64.4,55.0,97.0,17.9
tshikapa,CD,-6.42,20.8,69.24,42.0,82.0,3.24
bubaque,GW,11.28,-15.83,80.78,83.0,57.0,12.62
husavik,IS,66.04,-17.34,46.4,75.0,75.0,2.24
byron bay,AU,-28.65,153.62,66.0,68.0,40.0,9.17
biltine,TD,14.53,20.92,79.29,64.0,93.0,5.41
bedford,GB,52.13,-0.47,55.99,80.0,100.0,5.99
gwadar,PK,25.12,62.33,86.05,73.0,53.0,4.94
naze,JP,28.37,129.48,84.2,94.0,75.0,19.46
altay,CN,47.87,88.12,53.53,80.0,100.0,3.29
zabid,YE,14.2,43.32,85.42,69.0,38.0,5.75
warrnambool,AU,-38.38,142.48,54.0,73.0,98.0,17.9
huarmey,PE,-10.07,-78.15,61.59,87.0,7.0,11.32
santa vitoria do palmar,BR,-33.52,-53.37,54.45,93.0,100.0,8.14
derzhavinsk,KZ,51.1,66.32,66.56,69.0,98.0,7.96
birjand,IR,32.87,59.22,73.4,16.0,0.0,6.93
fortuna,US,40.6,-124.16,60.01,76.0,20.0,11.41
saint george,US,37.1,-113.58,81.0,9.0,1.0,9.17
general pico,AR,-35.66,-63.76,47.34,70.0,100.0,3.94
ankang,CN,32.68,109.02,88.75,59.0,9.0,0.81
san quintin,MX,30.48,-115.95,63.7,79.0,57.0,8.52
tevaitoa,PF,-16.78,-151.5,78.03,75.0,100.0,24.94
kudahuvadhoo,MV,2.67,72.89,83.73,73.0,56.0,5.57
kerrville,US,30.05,-99.14,79.0,83.0,40.0,9.17
bunia,CD,1.57,30.25,63.61,86.0,100.0,2.01
kintinku,TZ,-5.88,35.23,59.29,78.0,18.0,3.06
asadabad,IR,34.78,48.12,68.38,42.0,0.0,4.12
mitu,CO,1.2,-70.17,72.7,92.0,100.0,0.78
haines junction,CA,60.75,-137.51,64.2,36.0,85.0,5.06
san jose,US,37.34,-121.89,75.99,36.0,1.0,14.99
santa lucia,ES,27.91,-15.54,71.6,73.0,75.0,20.8
marsh harbour,BS,26.54,-77.06,83.39,73.0,3.0,8.01
chernyshevskiy,RU,63.01,112.47,84.92,32.0,21.0,2.55
floro,NO,61.6,5.03,57.2,87.0,37.0,5.82
walvis bay,NA,-22.96,14.51,64.4,17.0,0.0,5.82
canutama,BR,-6.53,-64.38,74.7,67.0,100.0,0.27
pocoes,BR,-14.53,-40.37,61.81,94.0,41.0,7.47
galveston,US,29.37,-94.97,84.2,89.0,90.0,17.22
rosarito,MX,32.33,-117.03,64.4,68.0,75.0,6.93
paragominas,BR,-2.97,-47.48,71.73,98.0,31.0,2.73
baykit,RU,61.67,96.37,66.69,62.0,81.0,3.4
jurm,AF,36.86,70.83,70.79,27.0,81.0,0.54
linhares,BR,-19.39,-40.07,67.06,93.0,86.0,4.25
tuatapere,NZ,-46.13,167.68,48.25,85.0,100.0,12.77
praia da vitoria,PT,38.73,-27.07,68.0,94.0,75.0,11.05
beringovskiy,RU,63.05,179.32,45.28,87.0,99.0,8.05
kaeo,NZ,-35.1,173.78,59.0,3.0,10.0,11.99
leningradskiy,RU,69.38,178.42,33.22,94.0,60.0,1.07
pangai,TO,-19.8,-174.35,80.6,83.0,40.0,2.24
hervey bay,AU,-25.3,152.85,70.0,67.0,21.0,3.0
paamiut,GL,61.99,-49.67,39.43,90.0,4.0,12.57
sao jose da coroa grande,BR,-8.9,-35.15,75.07,83.0,0.0,6.22
labrea,BR,-7.26,-64.8,74.23,65.0,27.0,0.25
asopos,GR,36.73,22.87,74.66,63.0,0.0,2.13
ekhabi,RU,53.51,142.97,54.14,79.0,87.0,6.46
komsomolskiy,UZ,40.43,71.72,78.8,22.0,99.0,4.29
mehamn,NO,71.04,27.85,41.0,80.0,75.0,11.41
jinan,CN,36.67,117.0,81.0,64.0,33.0,11.95
viedma,AR,-40.81,-63.0,46.94,90.0,100.0,10.16
humberto de campos,BR,-2.6,-43.46,75.18,92.0,57.0,4.36
kiunga,PG,-6.12,141.29,77.88,90.0,99.0,3.58
lewistown,US,40.6,-77.57,75.2,64.0,1.0,2.82
auki,SB,-8.77,160.7,82.22,75.0,95.0,3.49
horsham,GB,51.06,-0.33,55.4,82.0,40.0,5.82
aguas vermelhas,BR,-15.75,-41.46,60.15,95.0,54.0,4.79
nagornskiy,RU,58.77,57.55,46.99,93.0,100.0,1.99
itarema,BR,-2.92,-39.92,74.98,89.0,67.0,7.96
bathsheba,BB,13.22,-59.52,82.4,78.0,20.0,13.87
carauari,BR,-4.88,-66.9,72.21,94.0,14.0,0.96
omsukchan,RU,62.53,155.8,59.52,35.0,90.0,17.76
saldanha,ZA,-33.01,17.94,50.0,93.0,0.0,4.7
saint-louis,SN,16.33,-15.0,77.79,77.0,0.0,16.8
san patricio,MX,19.22,-104.7,79.54,80.0,40.0,4.54
saskylakh,RU,71.92,114.08,91.54,23.0,23.0,11.97
airai,TL,-8.93,125.41,71.29,68.0,34.0,4.03
port lincoln,AU,-34.73,135.87,62.83,63.0,0.0,15.66
ekibastuz,KZ,51.67,75.37,70.36,42.0,3.0,10.02
bolobo,CD,-2.17,16.23,74.34,77.0,100.0,2.64
freeport,US,40.66,-73.58,73.4,69.0,1.0,5.82
ilulissat,GL,69.22,-51.1,39.2,86.0,73.0,6.04
beroroha,MG,-21.67,45.17,62.17,48.0,0.0,2.15
nemuro,JP,43.32,145.57,59.0,93.0,75.0,8.05
elizabeth city,US,36.29,-76.25,75.2,88.0,1.0,3.18
kununurra,AU,-15.77,128.73,82.4,15.0,24.0,8.05
saint-pierre,RE,-21.34,55.48,68.0,64.0,66.0,6.93
norman wells,CA,65.28,-126.83,73.4,35.0,75.0,2.24
mae sai,TH,20.43,99.88,86.0,74.0,20.0,2.24
bud,US,39.45,-86.18,73.0,94.0,100.0,4.63
port moresby,PG,-9.44,147.18,80.6,83.0,75.0,23.04
la ronge,CA,55.1,-105.28,62.6,72.0,75.0,4.7
corn island,NI,12.17,-83.04,81.77,82.0,100.0,21.7
sompeta,IN,18.93,84.6,86.95,70.0,100.0,6.04
coquimbo,CL,-29.95,-71.34,53.6,81.0,38.0,2.24
biabou,VC,13.2,-61.13,82.4,78.0,40.0,14.99
kysyl-syr,RU,63.9,122.76,88.7,32.0,0.0,4.29
portadown,GB,54.42,-6.44,54.0,93.0,75.0,8.05
at-bashi,KG,41.17,75.81,64.99,25.0,97.0,3.06
baltasi,RU,56.35,50.21,49.08,80.0,26.0,7.29
aswan,EG,24.09,32.91,80.96,21.0,0.0,7.18
churapcha,RU,62.0,132.43,82.15,24.0,100.0,15.17
talcahuano,CL,-36.72,-73.12,53.6,93.0,75.0,9.17
tuscaloosa,US,33.21,-87.57,82.4,88.0,1.0,2.24
sao filipe,CV,14.9,-24.5,74.97,77.0,1.0,9.48
hofn,IS,64.25,-15.21,48.27,72.0,72.0,14.45
ambulu,ID,-8.35,113.61,82.24,69.0,14.0,3.8
pevek,RU,69.7,170.31,33.21,95.0,92.0,8.84
beyneu,KZ,45.32,55.2,75.87,43.0,65.0,4.36
inongo,CD,-1.95,18.27,70.27,85.0,100.0,8.23
bafoulabe,ML,13.81,-10.83,75.61,76.0,95.0,7.47
tripoli,LY,32.88,13.19,74.23,66.0,0.0,2.77
necochea,AR,-38.55,-58.74,48.99,83.0,100.0,4.0
matara,LK,5.95,80.54,82.47,82.0,38.0,10.69
sibolga,ID,1.74,98.78,87.58,54.0,13.0,1.5
adrar,MR,20.5,-10.07,91.24,15.0,0.0,7.36
randolph,US,35.7,-79.82,77.0,83.0,1.0,3.36
sisimiut,GL,66.94,-53.67,43.02,81.0,2.0,4.72
olavarria,AR,-36.89,-60.32,46.99,87.0,100.0,5.99
grindavik,IS,63.84,-22.43,51.8,93.0,90.0,5.82
belmonte,BR,-15.86,-38.88,71.6,88.0,90.0,5.82
arman,RU,59.7,150.17,54.28,87.0,100.0,8.1
tura,IN,25.52,90.22,81.99,82.0,1.0,5.21
zhuhai,CN,22.28,113.57,95.0,79.0,20.0,9.17
yeppoon,AU,-23.13,150.73,73.4,53.0,90.0,10.29
moose factory,CA,51.26,-80.61,66.2,88.0,1.0,6.93
nantucket,US,41.28,-70.1,64.0,93.0,90.0,5.82
limbang,MY,4.75,115.0,86.0,70.0,75.0,2.24
bouna,CI,9.27,-3.0,70.43,97.0,18.0,6.24
tarko-sale,RU,64.92,77.78,64.99,78.0,91.0,17.49
abyek,IR,36.07,50.55,64.4,42.0,40.0,6.93
teguldet,RU,57.31,88.17,67.15,52.0,99.0,7.54
plettenberg bay,ZA,-34.05,23.37,54.59,78.0,31.0,4.32
new baltimore,US,42.68,-82.74,73.99,73.0,40.0,3.36
dorverden,DE,52.85,9.23,57.0,68.0,26.0,1.99
saint-augustin,CA,51.23,-58.65,52.65,91.0,0.0,6.17
shakawe,BW,-18.37,21.85,44.83,50.0,0.0,4.34
nanortalik,GL,60.14,-45.24,40.23,87.0,56.0,10.67
sorong,ID,-0.88,131.25,82.72,70.0,50.0,5.37
urubicha,BO,-15.38,-62.95,70.47,74.0,100.0,3.06
bethel,US,41.37,-73.41,66.0,93.0,1.0,3.36
methoni,GR,36.82,21.7,73.99,68.0,0.0,14.61
chapada dos guimaraes,BR,-15.46,-55.75,75.2,64.0,100.0,2.24
bestobe,KZ,52.5,73.1,66.0,43.0,73.0,7.67
basco,PH,20.45,121.97,84.7,75.0,99.0,9.33
westport,US,41.14,-73.36,69.8,83.0,1.0,5.59
kibala,TD,9.11,18.35,71.74,95.0,100.0,3.67
mogadishu,SO,2.04,45.34,77.72,86.0,0.0,13.56
vestmannaeyjar,IS,63.44,-20.27,50.32,92.0,100.0,5.57
mattru,SL,7.62,-11.83,72.48,98.0,96.0,2.26
maymyo,MM,22.03,96.47,87.8,66.0,75.0,8.05
beloha,MG,-25.17,45.05,62.89,89.0,35.0,5.17
fillan,NO,63.61,8.97,53.6,93.0,75.0,5.82
nakasongola,UG,1.31,32.46,66.06,68.0,93.0,2.84
port macquarie,AU,-31.43,152.92,66.99,58.0,30.0,1.01
yulara,AU,-25.24,130.99,69.8,18.0,0.0,4.7
kapit,MY,2.02,112.93,83.52,82.0,29.0,1.07
rio gallegos,AR,-51.62,-69.22,12.2,92.0,0.0,5.23
kahului,US,20.89,-156.47,87.8,48.0,20.0,20.8
katima mulilo,NA,-17.5,24.27,39.2,60.0,0.0,2.24
presidencia roque saenz pena,AR,-26.79,-60.44,59.13,93.0,98.0,4.65
hudson bay,CA,52.85,-102.38,58.08,97.0,98.0,7.43
lazaro cardenas,MX,17.96,-102.2,80.15,81.0,47.0,6.17
puerto baquerizo moreno,EC,-0.9,-89.6,70.07,86.0,21.0,11.79
athens,GR,37.98,23.72,79.0,60.0,0.0,3.36
urucui,BR,-7.23,-44.56,76.89,53.0,6.0,6.73
orihuela,ES,38.08,-0.94,73.0,91.0,0.0,4.88
biak,ID,-0.91,122.88,81.99,70.0,89.0,6.6
diffa,NE,13.32,12.61,83.07,54.0,100.0,11.45
tautira,PF,-17.73,-149.15,80.6,61.0,75.0,4.7
sijunjung,ID,-0.69,100.95,82.06,72.0,100.0,2.44
nador,MA,35.17,-2.93,73.4,83.0,75.0,2.24
faanui,PF,-16.48,-151.75,77.58,78.0,92.0,25.9
sitka,US,57.05,-135.33,55.4,76.0,75.0,13.87
nuuk,GL,64.18,-51.72,41.0,80.0,8.0,5.01
tver,RU,56.86,35.89,53.13,78.0,52.0,7.67
benjamin aceval,PY,-24.97,-57.57,73.4,78.0,20.0,14.99
sovetskiy,RU,61.36,63.58,47.16,79.0,100.0,6.33
pemangkat,ID,1.17,108.97,81.03,79.0,86.0,4.36
fare,PF,-16.7,-151.02,77.92,76.0,98.0,25.59
palmer,US,42.16,-72.33,66.2,93.0,75.0,4.7
whitehorse,CA,60.72,-135.05,57.99,62.0,75.0,2.24
katangli,RU,51.71,143.23,49.62,92.0,100.0,3.87
lebu,CL,-37.62,-73.65,49.8,90.0,11.0,11.7
aktas,KZ,49.78,72.96,66.2,59.0,56.0,13.42
cayenne,GF,4.93,-52.33,75.2,100.0,98.0,9.57
aykhal,RU,66.0,111.5,82.4,24.0,0.0,2.24
cabo san lucas,MX,22.89,-109.91,80.01,74.0,90.0,9.17
hirara,JP,24.8,125.28,89.6,75.0,75.0,21.92
ust-kulom,RU,61.69,53.69,46.26,67.0,100.0,5.35
victor harbor,AU,-35.57,138.62,57.99,59.0,9.0,3.0
luganville,VU,-15.53,167.17,77.0,100.0,90.0,10.29
okhotsk,RU,59.38,143.3,57.33,88.0,100.0,11.81
porto torres,IT,40.84,8.4,69.01,94.0,75.0,1.12
lasem,ID,-6.69,111.45,84.85,61.0,56.0,7.76
gilgit,PK,35.92,74.31,78.15,25.0,7.0,3.13
